آئرش	ADJ	آئرش
آباد	ADJ	آباد
آن	ADJ	آن
اخلاقي	ADJ	اخلاقي
ادا	ADJ	ادا
ارڙهين	ADJ	ارڙهي
اسرائيلي	ADJ	اسرائيلي
اصلي	ADJ	اصلي
اصولي	ADJ	اصولي
المناڪ	ADJ	المناڪ
امدادي	ADJ	امدادي
انتقامي	ADJ	انتقامي
ايٽمي	ADJ	ايٽمي
ايڏي	ADJ	ايڏي
اڪثر	ADJ	اڪثر
اڳيون	ADJ	اڳ
بحال	ADJ	بحال
برطرف	ADJ	برطرف
بطال	ADJ	بطال
بنا	ADJ	بنا
بي	ADJ	بي
بھتر	ADJ	بھتر
ترڪِ	ADJ	ترڪِ
توڙي	ADJ	توڙي
جاري	ADJ	جاري
جملي	ADJ	جملي
جهڙا	ADJ	جهڙو
جهڙو	ADJ	جهڙو
حقيقي	ADJ	حقيقي
خفيه	ADJ	خفيه
خودغرض	ADJ	خودغرض
خوشبودار	ADJ	خوشبودار
دردناڪ	ADJ	دردناڪ
روحاني	ADJ	روحاني
روزانه	ADJ	روزانه
روسي	ADJ	روسي
زبردست	ADJ	زبردست
زده	ADJ	زده
سادي	ADJ	سادي
ساڳئي	ADJ	ساڳ
سجاڳ	ADJ	سجاڳ
سراسري	ADJ	سراسري
سروري	ADJ	سروري
سمورو	ADJ	سمورو
سياڻي	ADJ	سياڻي
سپر	ADJ	سپر
سڌو	ADJ	سڌو
شهري	ADJ	شهري
صفا	ADJ	صفا
طئي	ADJ	طئي
عادي	ADJ	عادي
عجيب	ADJ	عجيب
عدالتي	ADJ	عدالتي
عراقي	ADJ	عراقي
عسڪري	ADJ	عسڪري
علاوه	ADJ	علاوه
عملي	ADJ	عملي
فضائي	ADJ	فضائي
لائن	ADJ	لائن
لساني	ADJ	لسان
مايوس	ADJ	مايوس
مبينا	ADJ	مبينا
مثبت	ADJ	مثبت
مذهبي	ADJ	مذهبي
مسلسل	ADJ	مسلسل
مطابق	ADJ	مطابق
معطل	ADJ	معطل
مغربي	ADJ	مغربي
ملتوي	ADJ	ملتوي
موتمار	ADJ	موتمار
موثر	ADJ	موثر
مڙني	ADJ	مڙنو
نااهل	ADJ	نااهل
ناداني	ADJ	نادانو
نامعلوم	ADJ	نامعلوم
نتيجتاً	ADJ	نتيجتاً
ننڍڙا	ADJ	ننڍو
نون	ADJ	نون
ون	ADJ	ون
وڌندڙ	ADJ	وڌندو
يمني	ADJ	يمني
يهودي	ADJ	يهودي
ٻطرفن	ADJ	ٻطرف
ٽنهي	ADJ	ٽنهي
پراڻو	ADJ	پراڻو
پسند	ADJ	پسند
پهريان	ADJ	پهريان
پيش	ADJ	پيش
ٿوريء	ADJ	ٿوريء
ٿيڻ	ADJ	ٿي
ڀارتي	ADJ	ڀارتي
چوٿون	ADJ	چوٿ
چوڌاري	ADJ	چوڌاري
چوڏهين	ADJ	چوڏه
چيني	ADJ	چيني
چڱن	ADJ	چڱو
ڊاهي	ADJ	ڊاه
ڌماڪي	ADJ	ڌماڪو
ڏورانهن	ADJ	ڏورانهن
ڏٺن	ADJ	ڏٺ
ڪشي	ADJ	ڪشي
ڪوتاهه	ADJ	ڪوتاهه
ڪڙي	ADJ	ڪڙي
گذريل	ADJ	گذريو
گيڙو	ADJ	گيڙو
ڳجهن	ADJ	ڳجه
ڳرا	ADJ	ڳرو
ڳري	ADJ	ڳري
ڳنڀير	ADJ	ڳنڀي
رڳو	ADP	رڳو
ساڻس	ADP	ساڻ
سميت	ADP	سميت
طرف	ADP	طرف
طور	ADP	طور
الاءِ	ADV	الاءِ
الائي	ADV	الائي
اهوئي	ADV	اهوئي
اُهي	ADV	اُهي
اڃاتائيـن	ADV	اڃاتائيـ
اڃان	ADV	اڃي
ترت	ADV	ترت
جيتوڻيڪ	ADV	جيتوڻيڪ
جيڏانهن	ADV	جيڏانهن
دوران	ADV	دوران
زوري	ADV	زوري
ساڻ	ADV	ساڻ
سويرو	ADV	سويرو
طرف	ADV	طرف
مس	ADV	مس
هـوڏانـهـن	ADV	هـوانــ
هيٺئين	ADV	هيٺءِ
هٿان	ADV	هٿ
وسيلي	ADV	وسيلو
ٻاهران	ADV	ٻاهران
پو‌	ADV	پو‌
ھاڻي	ADV	ھاڻ
سگهندو	AUX	سگهن
هئس	AUX	هئس
هومانس	AUX	هومانس
ٿيندا	AUX	ٿا
ڪونهي	AUX	ڪونهي
11	CCONJ	11
جو	CCONJ	جو
لا	CCONJ	لا
اهڙيءَ	DET	اهڙيءَ
اُن	DET	اُن
اِها	DET	اِها
جن	DET	جن
اڙي	INTJ	اڙي
ها	INTJ	ها
Dialects	NOUN	Dialects
Dimension	NOUN	Dimension
Mass	NOUN	Mass
Media	NOUN	Media
WFO	NOUN	WFO
http://www.cctv.com.pk	NOUN	http://www.cctv.com.pk
آئينده	NOUN	آئينده
آئيڊل	NOUN	آئيڊل
آبادي	NOUN	آبادي
آدم	NOUN	آدم
آرميءَ	NOUN	آرميءَ
آزاد	NOUN	آزاد
آزمائشن	NOUN	آزمائشن
آف	NOUN	آف
آفيسن	NOUN	آفيس
آور	NOUN	آور
آگاهه	NOUN	آگاهه
آگاهي	NOUN	آگاهي
اتحاد	NOUN	اتحاد
اتساهه	NOUN	اتساهه
اخبارن	NOUN	اخبار
اختيارن	NOUN	اختيار
اداري	NOUN	اداراو
اداسي	NOUN	اداسي
اديءَ	NOUN	اديءَ
ازالو	NOUN	ازالو
اسرائيل	NOUN	اسرائيل
اسمن	NOUN	اسمن
اسٽائل	NOUN	اسٽائل
اسٽاف	NOUN	اسٽاف
اسٽنٽ	NOUN	اسٽنٽ
اسپتالن	NOUN	اسپتال
اسپورٽس	NOUN	اسپورٽس
اسڪرين	NOUN	اسڪرين
اسڪواڊ	NOUN	اسڪواڊ
اشاري	NOUN	اشارو
اشتهارن	NOUN	اشتهار
اطلاعات	NOUN	اطلاعات
الهه	NOUN	الهه
الوطني	NOUN	الوطني
امداد	NOUN	امداد
امڪان	NOUN	امڪان
انبارن	NOUN	انبار
انتظاميه	NOUN	انتظاميه
انٽري	NOUN	انٽري
انڊيڪس	NOUN	انڊيڪس
اهلبيت	NOUN	اهلبيت
اهلڪارن	NOUN	اهلڪار
اهڃاڻن	NOUN	اهڃاڻ
اوجهريءَ	NOUN	اوجهريءَ
ايئرپورٽ	NOUN	ايئرپورٽ
ايجادن	NOUN	ايجاد
ايجنڊا	NOUN	ايجنڊا
ايمبولينس	NOUN	ايمبولينس
اينڊ	NOUN	اينڊ
ايوان	NOUN	ايوان
ايڊوڪيٽ	NOUN	ايڊوڪيٽ
ايڊيشنل	NOUN	ايڊيشنل
ايڪشن	NOUN	ايڪشن
ايگزيڪيوٽو	NOUN	ايگزيڪيوٽو
اُن	NOUN	اُن
اٻهرائپ	NOUN	اٻهرائپ
اپت	NOUN	اپت
اپيل	NOUN	اپيل
اکر	NOUN	اکر
اڪرام	NOUN	اڪرام
اگهه	NOUN	اگهه
اھلڪار	NOUN	اھلڪار
بارگاهن	NOUN	بارگاه
بازياب	NOUN	بازياب
بال	NOUN	بال
باهين	NOUN	باهي
بحرِ	NOUN	بحرِ
بخار	NOUN	بخار
بدسلوڪي	NOUN	بدسلوڪي
بدنامي	NOUN	بدنامي
بربريت	NOUN	بربريت
بروهي	NOUN	بروهي
برپا	NOUN	برپا
بلا	NOUN	بلا
بلوچستان	NOUN	بلوچستان
بمبارن	NOUN	بمبار
بندوبست	NOUN	بندوبست
بها	NOUN	بها
بهڻ	NOUN	بهڻ
بوٿ	NOUN	بوٿ
بيانن	NOUN	بيان
بيجنگ	NOUN	بيجنگ
بيحرمتي	NOUN	بيحرمتي
بيرڪ	NOUN	بيرڪ
بيوسيءَ	NOUN	بيوسيءَ
بيگناهه	NOUN	بيگناهه
بچاءَ	NOUN	بچاءَ
بچت	NOUN	بچت
تاثر	NOUN	تاثر
تال	NOUN	تال
تحريڪن	NOUN	تحريڪ
تحسين	NOUN	تحسين
تحفو	NOUN	تحفو
تحقيقن	NOUN	تحقيقو
ترجمن	NOUN	ترجم
تسلسل	NOUN	تسلسل
تصويرن	NOUN	تصوير
تعزيت	NOUN	تعزيت
تلاشي	NOUN	تلاشي
تنقيد	NOUN	تنقيد
توازن	NOUN	توازن
توقع	NOUN	توقع
توهار	NOUN	توهار
توهين	NOUN	توهين
تياريون	NOUN	تيار
تيغو	NOUN	تيغو
تيل	NOUN	تيل
تڪليف	NOUN	تڪليف
ثبوت	NOUN	ثبوت
ثقافتن	NOUN	ثقافت
جاسوس	NOUN	جاسوس
جاسوسي	NOUN	جاسوسي
جامع	NOUN	جامع
جانثارن	NOUN	جانثار
جاندارن	NOUN	جاندار
جانيون	NOUN	جاني
جاين	NOUN	جاي
جدائي	NOUN	جدائي
جذبو	NOUN	جذبو
جرڳو	NOUN	جرڳو
جماعت	NOUN	جماعت
جند	NOUN	جند
جنوريءَ	NOUN	جنوريءَ
جنگي	NOUN	جنگي
جهاتيون	NOUN	جهات
جهار	NOUN	جهار
جهاز	NOUN	جهاز
